名称,用途,分类,主题,状态,维护状态,入口,仓库,原始标题,依据,日期
AI 产品案例池、团队组织与用户习惯,阅读“AI 产品案例池、团队组织与用户习惯”的纪要、章节与原有资料，回顾讨论内容。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-ai-obcnv8g7/,https://github.com/siuserxiaowei/2026-05-29-ai-obcnv8g7,AI产品及出海业务分享会,依据原文摘要重新拟题,2026-05-29
软件外包报价与持续维护费用,阅读“软件外包报价与持续维护费用”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-ai-obcnv8oj/,https://github.com/siuserxiaowei/2026-05-29-ai-obcnv8oj,出海业务与AI应用讨论,依据原文摘要重新拟题,2026-05-29
跨境账户与资金往来的经验讨论,阅读“跨境账户与资金往来的经验讨论”的纪要、章节与原有资料，回顾讨论内容。,会议条目,出海、增长与商业化,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-ai-obcnv8w9/,https://github.com/siuserxiaowei/2026-05-29-ai-obcnv8w9,出海业务及AI创业机会讨论,依据原文摘要重新拟题,2026-05-29
公众号活动照片的发布范围沟通,阅读“公众号活动照片的发布范围沟通”的纪要、章节与原有资料，回顾讨论内容。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-feishu-minutes-obcnv744/,https://github.com/siuserxiaowei/2026-05-29-feishu-minutes-obcnv744,酒店事务及业务合作讨论,依据原文摘要重新拟题,2026-05-29
代充值业务的渠道与收益模式讨论,阅读“代充值业务的渠道与收益模式讨论”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-feishu-minutes-obcnwc97/,https://github.com/siuserxiaowei/2026-05-29-feishu-minutes-obcnwc97,业务合作与市场情况讨论,依据原文摘要重新拟题,2026-05-29
语音产品的市场竞争与下架影响（片段）,阅读“语音产品的市场竞争与下架影响（片段）”的纪要、章节与原有资料，回顾讨论内容。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-soundcore-work-05-28-18-33-obcnv729/,https://github.com/siuserxiaowei/2026-05-29-soundcore-work-05-28-18-33-obcnv729,soundcore Work_05-28 18:33_分段2,依据原文摘要重新拟题,2026-05-29
自媒体适配、课程营销与内容引用讨论,阅读“自媒体适配、课程营销与内容引用讨论”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-31-1-obcnxibt/,https://github.com/siuserxiaowei/2026-05-31-1-obcnxibt,业务项目及酒店事务讨论_分段1,依据原文摘要重新拟题,2026-05-31
AI 服务成本与客户需求沟通,阅读“AI 服务成本与客户需求沟通”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-31-2-obcnxjm8/,https://github.com/siuserxiaowei/2026-05-31-2-obcnxjm8,业务项目及酒店事务讨论_分段2,依据原文摘要重新拟题,2026-05-31
开发者活动参与与会务安排,阅读“开发者活动参与与会务安排”的纪要、章节与原有资料，回顾讨论内容。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-31-3-obcnxj3r/,https://github.com/siuserxiaowei/2026-05-31-3-obcnxj3r,业务项目及酒店事务讨论_分段3,依据原文摘要重新拟题,2026-05-31
合作对象评估、资料分享与开票沟通,阅读“合作对象评估、资料分享与开票沟通”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-31-app-1-obcnxi75/,https://github.com/siuserxiaowei/2026-05-31-app-1-obcnxi75,APP商业化及素材投放策略分享会_分段1,依据原文摘要重新拟题,2026-05-31
海外视频生成、支付合作与电商业务,阅读“海外视频生成、支付合作与电商业务”的纪要、章节与原有资料，回顾讨论内容。,会议条目,出海、增长与商业化,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-31-app-2-obcnxiqo/,https://github.com/siuserxiaowei/2026-05-31-app-2-obcnxiqo,APP商业化及素材投放策略分享会_分段2,依据原文摘要重新拟题,2026-05-31
个人实力、社交分寸与自媒体曝光,阅读“个人实力、社交分寸与自媒体曝光”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-31-feishu-minutes-obcnxhm8/,https://github.com/siuserxiaowei/2026-05-31-feishu-minutes-obcnxhm8,新录音,依据原文摘要重新拟题,2026-05-30
业务边界与活动运营的零散讨论,阅读“业务边界与活动运营的零散讨论”的纪要、章节与原有资料，回顾讨论内容。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-31-feishu-minutes-obcnxiqa/,https://github.com/siuserxiaowei/2026-05-31-feishu-minutes-obcnxiqa,新录音,依据原文摘要重新拟题,2026-05-31
AI 盒子采购测试与团队设备沟通,阅读“AI 盒子采购测试与团队设备沟通”的纪要、章节与原有资料，回顾讨论内容。,会议条目,智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-01-siuser-obcnx3u5/,https://github.com/siuserxiaowei/2026-06-01-siuser-obcnx3u5,siuser小伟的视频会议,依据原文摘要重新拟题,2026-05-31
戴雨森AI投资思考访谈,阅读“戴雨森AI投资思考访谈”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-02-ai-obcnyst6/,https://github.com/siuserxiaowei/2026-06-02-ai-obcnyst6,戴雨森AI投资思考访谈,已核对页面标题,2026-06-01
AIGC 杭州 workflow 讨论,阅读“AIGC 杭州 workflow 讨论”的纪要、章节与原有资料，回顾讨论内容。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-02-aigc-workflow-obcnyp9p/,https://github.com/siuserxiaowei/2026-06-02-aigc-workflow-obcnyp9p,AIGC 杭州 workflow 讨论,已核对页面标题,2026-06-01
创业、永居等话题讨论,阅读“创业、永居等话题讨论”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-02-feishu-minutes-obcnytsq/,https://github.com/siuserxiaowei/2026-06-02-feishu-minutes-obcnytsq,创业、永居等话题讨论,已核对页面标题,2026-06-01
AIGC 业务框架同步与会议准备,阅读“AIGC 业务框架同步与会议准备”的纪要、章节与原有资料，回顾讨论内容。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-03-aigc-workflow-obcnzgdi/,https://github.com/siuserxiaowei/2026-06-03-aigc-workflow-obcnzgdi,AIGC 杭州 workflow 讨论,依据原文摘要重新拟题,2026-06-02
机器人模型堆叠：板卡布局与结构预留,阅读“机器人模型堆叠：板卡布局与结构预留”的纪要、章节与原有资料，回顾讨论内容。,会议条目,智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-03-feishu-minutes-obcnzg28/,https://github.com/siuserxiaowei/2026-06-03-feishu-minutes-obcnzg28,项目堆叠讨论,依据原文摘要重新拟题,2026-06-02
AI时代企业与个人发展访谈—王磊,阅读“AI时代企业与个人发展访谈—王磊”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-04-ai-obcnz695/,https://github.com/siuserxiaowei/2026-06-04-ai-obcnz695,AI时代企业与个人发展访谈—王磊,已核对页面标题,2026-06-03
设备测试重置、合作对接与资料整理,阅读“设备测试重置、合作对接与资料整理”的纪要、章节与原有资料，回顾讨论内容。,会议条目,智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-05-feishu-minutes-obcn1ka2/,https://github.com/siuserxiaowei/2026-06-05-feishu-minutes-obcn1ka2,设备测试及项目合作机会讨论,依据原文摘要重新拟题,2026-06-04
工作生活及学习情况讨论_分段1,阅读“工作生活及学习情况讨论_分段1”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-08-1-obcn4b83/,https://github.com/siuserxiaowei/2026-06-08-1-obcn4b83,工作生活及学习情况讨论_分段1,已核对页面标题,2026-06-08
机器人结构设计：布线、舵机限位与电池,阅读“机器人结构设计：布线、舵机限位与电池”的纪要、章节与原有资料，回顾讨论内容。,会议条目,智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-06-08-feishu-minutes-obcn3p28/,https://github.com/siuserxiaowei/2026-06-08-feishu-minutes-obcn3p28,产品堆叠讨论,依据原文摘要重新拟题,2026-06-07
AI 业务圆桌会议纪要,复盘 AI 产品、增长、独立开发与商业模式的圆桌讨论。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/ai-business-roundtable-2026-05-16/,https://github.com/siuserxiaowei/ai-business-roundtable-2026-05-16,AI 业务圆桌会议纪要,已核对 README 与根目录,2026-06-24
AI 智能体盒子：教程优化与拜访筹备,2026-08-05 10:00 产品沟通会纪要 · 缺席者导读：AI 智能体盒子教程优化与澳门理工拜访筹备,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/ai-meetup-0805/,https://github.com/siuserxiaowei/ai-meetup-0805,2026-08-05（周三）10:00 会议纪要 · 缺席者详细导读,已核对页面标题,2026-08-05
杭州 AI 破局大会分享拆解,整理杭州 AI 破局大会的分享内容，按主题、方法和行动项复盘。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/ai-pojucj/,https://github.com/siuserxiaowei/ai-pojucj,AI 破局拆解,已核对 README 与根目录,2026-06-24
2026-05-10 AI 产品飞书纪要拆解,独立 GitHub Pages：2026-05-10 三篇飞书 AI 产品纪要的道法术器势拆解,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/ai-product-feishu-breakdowns-20260510/,https://github.com/siuserxiaowei/ai-product-feishu-breakdowns-20260510,2026-05-10 AI 产品飞书纪要拆解,已核对页面标题,2026-06-24
AI 编程与 Harness 工程研讨会公开专题站,AI 编程 Harness 会议归档：记录 Codex、Claude Code、agent workflow 和测试体系相关讨论。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/ai-programming-harness-meeting-2026-05-19/,https://github.com/siuserxiaowei/ai-programming-harness-meeting-2026-05-19,AI 编程与 Harness 工程研讨会公开专题站,已核对页面标题,2026-06-24
阿里云 AI 合伙人 Qoder 方案公开页,阿里云 AI Partner/Qoder 会议资料：沉淀 AI 编程、云服务和开发者工具的会议记录。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/aliyun-ai-partner-qoder-2026-05-21/,https://github.com/siuserxiaowei/aliyun-ai-partner-qoder-2026-05-21,阿里云 AI 合伙人 Qoder 方案公开页,已核对页面标题,2026-06-24
八月会议知识场,2026 年 8 月飞书会议知识场：缺席者学习、知识库复用与 AI Agent 对流,会议条目,综合交流与学习,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/,https://github.com/siuserxiaowei/august-meeting-knowledge,八月会议知识场,已核对 README 与根目录,2026-08-23
草诀歌 AI Labs 闭门会（2026-08-05 晚）· 深度拆解,草诀歌AI Labs闭门会（2026-08-05 晚）深度拆解：出海增长实战 × 长程Agent认知 · 给未参会同学的自学文档（道法术器势框架 + 外部事实核实）,会议条目,出海、增长与商业化,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/caojuege-ai-labs-0805/,https://github.com/siuserxiaowei/caojuege-ai-labs-0805,草诀歌 AI Labs 闭门会（2026-08-05 晚）· 深度拆解,已核对 README 与根目录,2026-08-05
AI出海需求挖掘与合规分享会 · 道法术器势拆解,成都AI出海需求挖掘与合规分享会（2026-07-19）道法术器势拆解：给未参会同学的自学文档,会议条目,出海、增长与商业化,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/chuhai-chengdu-meetup-0719/,https://github.com/siuserxiaowei/chuhai-chengdu-meetup-0719,AI出海需求挖掘与合规分享会 · 道法术器势拆解,已核对页面标题,2026-07-21
AI出海分享会 · 道法术器势全拆解（2026-07-19）,整理 2026 年 7 月 19 日 AI 出海项目运营经验分享会，供缺席者按方法、案例与行动项自学。,会议条目,出海、增长与商业化,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/chuhai-meeting-0719/,https://github.com/siuserxiaowei/chuhai-meeting-0719,AI出海分享会 · 道法术器势全拆解（2026-07-19）,已核对页面标题,2026-07-20
Claude Tag EP144 中文逐字稿与产品拆解,Claude Tag EP144 中文逐字稿、产品哲学深度拆解与公众号写作方案,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/claude-tag-ep144/,https://github.com/siuserxiaowei/claude-tag-ep144,Claude Tag EP144 中文逐字稿与产品拆解,已核对页面标题,2026-08-11
Codex App 自动化开发配置文档,Codex App 会议报告：把会议记录、AI 摘要和 PDF 工作流整理成可复盘的资料包。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/codex-app-meeting-report/,https://github.com/siuserxiaowei/codex-app-meeting-report,Codex App 自动化开发配置文档,已核对页面标题,2026-06-24
小伟的 Codex 实战课,小伟的 Codex 实战课：从 5.6 到 6，给缺席者的课程学习纪要、踩坑复盘、开发流程与上下文实践。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/codex-practice-class-notes/,https://github.com/siuserxiaowei/codex-practice-class-notes,小伟的 Codex 实战课,已核对页面标题,2026-09-08
Fireworks × Benny Chen：开源、Token 与定制模型,Benny Chen 对谈完整逐字稿、深度分析与交互式学习页,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/fireworks-benny-chen-deep-dive/,https://github.com/siuserxiaowei/fireworks-benny-chen-deep-dive,Fireworks × Benny Chen：开源、Token 与定制模型,已核对页面标题,2026-08-17
GPT‑5.6 会议：20 Agent「道法术器势」学习报告,20 Agent 道法术器势拆解 GPT-5.6 使用经验交流会,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/gpt56-meeting-report/,https://github.com/siuserxiaowei/gpt56-meeting-report,GPT‑5.6 会议：20 Agent「道法术器势」学习报告,已核对页面标题,2026-07-14
广州创业项目交流会 Wiki,广州 AI 创业者圆桌资料：整理 founder roundtable 会议内容、创业生态观察和增长讨论的静态页面。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/guangzhou-founder-roundtable-2026/,https://github.com/siuserxiaowei/guangzhou-founder-roundtable-2026,广州创业项目交流会 Wiki,已核对页面标题,2026-06-24
航海家夜话：道法术器势拆解,航海家夜话拆解站：把公开分享内容整理成可浏览的 GitHub Pages 复盘页和资料索引。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/hanghaijia-night-talk-breakdown/,https://github.com/siuserxiaowei/hanghaijia-night-talk-breakdown,航海家夜话：道法术器势拆解,已核对页面标题,2026-06-24
高 Token 用量下的大模型使用与工作流访谈,复盘访谈中的模型选择、Token 使用、工作流与成本取舍；访谈数字属于原材料主张。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/interview-breakdown/,https://github.com/siuserxiaowei/interview-breakdown,访谈深度拆解 2026-08-14,已核对页面标题,2026-08-15
AI Agent 与企业转型实践分享会,学习 AI Agent 如何进入企业转型流程，查阅会议要点、逐段解读和实践启发。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/meeting-0715-ai-agent/,https://github.com/siuserxiaowei/meeting-0715-ai-agent,meeting-0715-ai-agent,已核对页面标题,2026-08-02
AI 与 OPC 创业落地经验分享会,复盘 AI 与一人公司创业落地的方法、案例和行动清单。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/meeting-deconstruct/,https://github.com/siuserxiaowei/meeting-deconstruct,meeting-deconstruct,已核对页面标题,2026-07-20
GPT 使用、半导体与具身智能：三场专题拆解,集中阅读 GPT 使用与系统优化、半导体技术方向、AI 与具身智能三份拆解。,会议条目,综合交流与学习,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/meeting-deconstruction/,https://github.com/siuserxiaowei/meeting-deconstruction,meeting-deconstruction,已核对页面标题,2026-08-02
道法术器势会议拆解站（公开发布版）,公开 GitHub Pages：道法术器势会议拆解站，含文章、维度索引、配置页和在线链接,会议条目,综合交流与学习,合集入口,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,道法术器势会议拆解站（公开发布版）,已核对页面标题,2026-07-13
妙记+S 会议纪要 Wiki,妙记+S 会议纪要 Wiki：把会议记录整理成可浏览、可复盘的 GitHub Pages 知识站。,会议条目,综合交流与学习,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/miaoji-s-meeting-minutes-wiki-2026/,https://github.com/siuserxiaowei/miaoji-s-meeting-minutes-wiki-2026,妙记+S 会议纪要 Wiki,已核对页面标题,2026-06-24
AI破局大会 · 道法术器拆解档案,破局案例拆解站：沉淀商业案例、增长策略和复盘分析。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/poju-breakdown-site/,https://github.com/siuserxiaowei/poju-breakdown-site,AI破局大会 · 道法术器拆解档案,已核对页面标题,2026-06-24
生财联合办公分享会 Wiki,生财联合办公分享会 Wiki：把深圳与广州分享会纪要整理成可检索的静态复盘站。,会议条目,综合交流与学习,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,生财联合办公分享会 Wiki,已核对 README 与根目录,2026-06-24
Spark 上海独立开发者分享会深度拆解,Spark 上海独立开发者分享会：89 分钟时间线、事实核查、外部研究与道法术器势,会议条目,出海、增长与商业化,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/spark-meetup-deep-dive/,https://github.com/siuserxiaowei/spark-meetup-deep-dive,Spark 上海独立开发者分享会深度拆解,已核对页面标题,2026-08-11
王磊访谈术法道器拆解,王磊 AI OPC 案例拆解站：用 GitHub Pages 呈现一人公司与 AI 商业方法的结构化复盘。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://wang-lei-ai-opc-breakdown.vercel.app,https://github.com/siuserxiaowei/wang-lei-ai-opc-breakdown,王磊访谈术法道器拆解,已核对页面标题,2026-06-24
微信开发者创新工坊 · 场外学习手册,微信开发者创新工坊深圳站：给缺席者的深度学习手册,会议条目,出海、增长与商业化,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/wechat-workshop-field-notes/,https://github.com/siuserxiaowei/wechat-workshop-field-notes,微信开发者创新工坊 · 场外学习手册,已核对页面标题,2026-08-08
洋哥商业心法 · 术法道器势系列拆解,洋哥商业心法系列妙记拆解：按术法道器势整理智能总结、文字记录、课堂资料和补充模板的 GitHub Pages 站点,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/yangge-business-mindset-pages/,https://github.com/siuserxiaowei/yangge-business-mindset-pages,洋哥商业心法 · 术法道器势系列拆解,已核对页面标题,2026-06-24
讨论AI设备模块化设计及应用场景,回顾讨论主题：讨论AI设备模块化设计及应用场景；讨论硬件及软件交付物及功能需求；AI对话系统开发策略与技术难点讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250425-2132-0c5d13c8/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-04-25 21:32 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-04-25
智能电子秤项目需求及技术讨论,回顾讨论主题：智能电子秤项目需求及技术讨论；软件接口及硬件传感器需求讨论；讨论家庭用食物秤的语音模块功耗问题。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250509-2025-2ecde221/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-05-09 20:25 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-05-09
研发团队讨论产品开发进度及软件配合问题,回顾讨论主题：研发团队讨论产品开发进度及软件配合问题；光纤公司寻求外部合作解决软件开发难题；讨论硬件设计与数据采集方案。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20250511-2128-9215775f/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-05-11 21:28 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-05-11
