source_id	url	status	source_type	platform	actual_platform	query_id	source_outcome_digest_sha256	accessed_at	notes
source-a28f044de78810a35d13	https://github.com/buchidonggua/dg-ai-notes/tree/main/pi-agent	verified	open_tutorial	github	GitHub	query-github-exact	278aecd755b8dda462e074b9102ba317d3e17ec3bac49cc172ed5edf7baef851	2026-08-26	固定版本的一手事实
source-78884637d612b888613f	https://github.com/zhoujianbin/pi-agent-guide	verified	open_tutorial	github	GitHub	query-github-exact	d217ca726d41aaeb70a1465d95ddabd46db93554374cefc3a88374cf631ca294	2026-08-26	固定版本的一手事实
source-0803712f4e0b658ceae3	https://www.youtube.com/watch?v=RjfbvDXpFls	verified	creator_talk	youtube	YouTube	query-youtube-exact	a39ef9a05e858fa20641f2c81b0afc8609d4509b14a39ebe22f0bf5c42155067	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-231d1ea4c5b6c6f8c68e	https://www.youtube.com/watch?v=gTeujlv8qK0	verified	tutorial_video	youtube	YouTube	query-youtube-exact	136557814ce3379da663d69e60219e7adaa905f2f79baf89662eb1a00594aaf0	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-4e186aee7889a9350ed5	https://www.youtube.com/watch?v=N30XGyPrr6I	verified	tutorial_video	youtube	YouTube	query-youtube-exact	73e4bfaecf7644cecbc7181d14ca75e49c2658b757f778a0484357bc166bcc24	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-619bc35efe8c6d853e7c	https://www.youtube.com/watch?v=PIdETjcXNIk	verified	practice_video	youtube	YouTube	query-youtube-exact	8126cfba3b22730bb18b7423d0f68e16a601943c4b9786230ac3e2f50365aaf4	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-2107e167382a6350cc56	https://www.youtube.com/watch?v=fvIVGmwgk4w	verified	comparison_video	youtube	YouTube	query-youtube-exact	3bdf7021555d3218f224fa69b83fc2983f4e9e19fa5c03cf3c07bb662d389dc0	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-caded312a6d733d14cc2	https://www.bilibili.com/video/BV139bD6gEa8	verified	tutorial_video	bilibili	Bilibili	query-bilibili-exact	ef61695912054df47965f6b81107817933a688b615c4e3412065740afefe875d	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-3caf2672b77424a27dd1	https://juejin.cn/post/7675622412803358774	verified	practice_article	juejin	掘金	query-juejin-exact	f1209b3b8d9bb0da0e78689728a34e2f94971cc66b8d4a9335ee438c07da143b	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-a224d950c0a2ea042211	https://zhuanlan.zhihu.com/p/2017400881730056207	verified	interview_article	zhihu	知乎	query-zhihu-exact	ca5db3969b348f3eca698fd0f156633adb9686035c586fd30321a02aa6bfaa2d	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-d32035a5146dd570b3b0	https://segmentfault.com/a/1190000048176674	verified	tutorial_article	segmentfault	SegmentFault	query-segmentfault-exact	d1db706f561f0b6b5c35ed44c6d6b684695848b4affc10434e51f66396b8534f	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-5d91b221ff35d3ec5d09	https://www.infoq.cn/article/sLVv23TfVFxoBPjNwcZI	verified	talk_recap	infoq	InfoQ	query-infoq-exact	f7f971039f76d808b7e0dc36bafbadde240c53dbd0209200059ab306049f0f5d	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-6de59c030f92ac4fb971	https://linux.do/t/topic/2712169	verified	forum_practice	linuxdo	Linux.do	query-linuxdo-exact	6717c6db3b1aafda2fefa1f7df071e292a697ef7451a39a6e234ecff971eaf6b	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-fd9b7a8c422f55c8536d	https://www.v2ex.com/t/1235481	verified	community_discussion	v2ex	V2EX	query-v2ex-exact	f3c6eed83186dfb6b5468f6f1756c3de19f4599100ae9351c4d861d42e5e1fe5	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-307ccd1084955781a24a	https://fast.v2ex.com/t/1218511	verified	commercial_case	v2ex	V2EX	query-v2ex-exact	e827f9c242c1d473c2f89fda9c2a84a3538c0e3e9226b77d15bc0efa4fded7bb	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-04e92a34121cc7b235a9	https://dev.to/zangetsu101/the-coding-agent-i-could-shape-around-my-workflow-3c38	verified	practice_article	medium	DEV.to	query-medium-exact	c65b304bd1b01d04fc720ebf1a47725dd6f3275344c1a1ae9a703e7d180c89c1	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-ba5bd4830070afd0b7be	https://georgeracu.substack.com/p/pi-agent-vs-claude-code-in-custom	verified	controlled_case	linkedin	Substack	query-linkedin-exact	b2ee5a10778493dc9859535424ecd6917d417a61b8479a9f46c228defc90024b	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-cc7e4abeb84dccc706f4	https://scaileagency.substack.com/p/introducing-pi-web-browse-give-your	verified	security_walkthrough	linkedin	Substack	query-linkedin-exact	60118a3c68376cc601f90fcd37c40f9a2b3575ba16464bd467c3d4e20a284e82	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
source-3fc053a9a80a47815371	https://arxiv.org/html/2607.25890v1	verified	research_paper	google_search	arXiv	query-google_search-exact	29c73405b0cebf750dffd7f043584732e4c4e3ad3e06773026dec340ad044597	2026-08-26	固定版本的一手事实
source-a0b1e71a83fa714fee3f	https://news.ycombinator.com/item?id=49289654	verified	community_discussion	hacker_news	Hacker News	query-hacker_news-exact	994b01a1b4c078f21d89d67c50490ec1f20649f6dab2d352f721ca5060892340	2026-08-26	社区/二手材料；关键技术结论须回到固定 commit 源码。
