evidence_id	source_id	source_url	claim	supports	access_date	excerpt_or_observation	evidence_grade	reviewer_status	reviewer_id
evidence-890a56b0d2aff0c91c90	source-890a56b0d2aff0c91c90	https://github.com/deepseek-ai/deepseek-harness	DSH 是 developer preview / RC；star 快照不能替代成熟度与运行验证。	fact	2026-08-26	DSH 是 developer preview / RC；star 快照不能替代成熟度与运行验证。	strong	accepted	primary-curator-codex
evidence-bc134af50dc2b3d9be0b	source-bc134af50dc2b3d9be0b	https://www.deepseek.com/harness/en	Cordis kernel 把模型、工具、skills、sessions、sandbox、storage、loop、调度和 UI 全部做成插件。	fact	2026-08-26	Cordis kernel 把模型、工具、skills、sessions、sandbox、storage、loop、调度和 UI 全部做成插件。	strong	accepted	primary-curator-codex
evidence-06c8a49d709e2f4060ef	source-06c8a49d709e2f4060ef	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/architecture.md	profile/bundle 组合 service、event、effect；替换深度高于 Pi，但依赖图与排障成本也更高。	fact	2026-08-26	profile/bundle 组合 service、event、effect；替换深度高于 Pi，但依赖图与排障成本也更高。	strong	accepted	primary-curator-codex
evidence-f71ccca1aeb5d2bd946f	source-f71ccca1aeb5d2bd946f	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/cordis-primer.md	broadcast、bail、serial、waterfall 让 policy、prompt 与结果变换可由多个插件顺序组合。	fact	2026-08-26	broadcast、bail、serial、waterfall 让 policy、prompt 与结果变换可由多个插件顺序组合。	strong	accepted	primary-curator-codex
evidence-810907e7268d7b547731	source-810907e7268d7b547731	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/agent-lifecycle.md	与 Pi 的 steering 内环 / follow-up 外环不是同构命名；应比较队列与 durable boundary，而非只数循环层数。	fact	2026-08-26	与 Pi 的 steering 内环 / follow-up 外环不是同构命名；应比较队列与 durable boundary，而非只数循环层数。	strong	accepted	primary-curator-codex
evidence-ebfbad2737c56b90b567	source-ebfbad2737c56b90b567	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/tool-execution-pipeline.md	durable call 后依次经过 guard、permission、sandbox、approval、wrapper、execute、post/finalize，再落 durable result。	fact	2026-08-26	durable call 后依次经过 guard、permission、sandbox、approval、wrapper、execute、post/finalize，再落 durable result。	strong	accepted	primary-curator-codex
evidence-a1c6924245412ec56344	source-a1c6924245412ec56344	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/subsystems/session.md	单 session 是 append-only log；fork 复制 prefix 到 child session。它和 Pi 单 JSONL 内父指针树并不相同。	fact	2026-08-26	单 session 是 append-only log；fork 复制 prefix 到 child session。它和 Pi 单 JSONL 内父指针树并不相同。	strong	accepted	primary-curator-codex
evidence-af62c40b2f21f4e353d7	source-af62c40b2f21f4e353d7	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/subsystems/compaction.md	start/summary/end 事件包围压缩，锁可识别 orphaned operation，surface replacement 改变模型可见上下文。	fact	2026-08-26	start/summary/end 事件包围压缩，锁可识别 orphaned operation，surface replacement 改变模型可见上下文。	strong	accepted	primary-curator-codex
evidence-7635a0ee17a298360975	source-7635a0ee17a298360975	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/packages/llm/llm-pi-ai/README.md	Pi 与 DSH 不是纯替代：DSH 的通用 provider adapter 建在 @earendil-works/pi-ai 上。	fact	2026-08-26	Pi 与 DSH 不是纯替代：DSH 的通用 provider adapter 建在 @earendil-works/pi-ai 上。	strong	accepted	primary-curator-codex
evidence-492469019ce2c8164489	source-492469019ce2c8164489	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/user/guide/python-sdk.md	SDK 可复用 durable session 与 persistent shell，但示例也明确 danger-full-access 风险。	fact	2026-08-26	SDK 可复用 durable session 与 persistent shell，但示例也明确 danger-full-access 风险。	strong	accepted	primary-curator-codex
evidence-a28f044de78810a35d13	source-a28f044de78810a35d13	https://github.com/buchidonggua/dg-ai-notes/tree/main/pi-agent	高质量中文导读与源码深潜，基于 v0.80.2；文档 CC-BY-SA-4.0，适合参考但必须标版本和署名。	inference	2026-08-26	高质量中文导读与源码深潜，基于 v0.80.2；文档 CC-BY-SA-4.0，适合参考但必须标版本和署名。	strong	accepted	primary-curator-codex
evidence-78884637d612b888613f	source-78884637d612b888613f	https://github.com/zhoujianbin/pi-agent-guide	每章三个无答案问题能对抗“看完以为懂了”；同样基于 v0.80.2，内容 CC-BY-SA-4.0。	inference	2026-08-26	每章三个无答案问题能对抗“看完以为懂了”；同样基于 v0.80.2，内容 CC-BY-SA-4.0。	strong	accepted	primary-curator-codex
evidence-0803712f4e0b658ceae3	source-0803712f4e0b658ceae3	https://www.youtube.com/watch?v=RjfbvDXpFls	维护者演讲是设计哲学的一手口述；视频指标只作热度，不当成熟度证据。	inference	2026-08-26	维护者演讲是设计哲学的一手口述；视频指标只作热度，不当成熟度证据。	medium	accepted	primary-curator-codex
evidence-231d1ea4c5b6c6f8c68e	source-231d1ea4c5b6c6f8c68e	https://www.youtube.com/watch?v=gTeujlv8qK0	用 Agent Loop、tools、TUI 串起架构；技术断言仍需回到固定 commit 源码。	inference	2026-08-26	用 Agent Loop、tools、TUI 串起架构；技术断言仍需回到固定 commit 源码。	medium	accepted	primary-curator-codex
evidence-4e186aee7889a9350ed5	source-4e186aee7889a9350ed5	https://www.youtube.com/watch?v=N30XGyPrr6I	25 分钟覆盖安装、模型、prompts、skills、extensions 与 tree history，适合作为上手前导。	inference	2026-08-26	25 分钟覆盖安装、模型、prompts、skills、extensions 与 tree history，适合作为上手前导。	medium	accepted	primary-curator-codex
evidence-619bc35efe8c6d853e7c	source-619bc35efe8c6d853e7c	https://www.youtube.com/watch?v=PIdETjcXNIk	把 Pi 当可编排执行器，而非只在终端里单 Agent 使用。	inference	2026-08-26	把 Pi 当可编排执行器，而非只在终端里单 Agent 使用。	medium	accepted	primary-curator-codex
evidence-2107e167382a6350cc56	source-2107e167382a6350cc56	https://www.youtube.com/watch?v=fvIVGmwgk4w	固定模型、替换 harness 是更合理的比较思路，但单次视频实验不能外推为普遍优胜。	inference	2026-08-26	固定模型、替换 harness 是更合理的比较思路，但单次视频实验不能外推为普遍优胜。	medium	accepted	primary-curator-codex
evidence-caded312a6d733d14cc2	source-caded312a6d733d14cc2	https://www.bilibili.com/video/BV139bD6gEa8	中文高热度入门，详情页可核验四工具、短系统提示与扩展生态；具体技术结论仍以源码为准。	inference	2026-08-26	中文高热度入门，详情页可核验四工具、短系统提示与扩展生态；具体技术结论仍以源码为准。	medium	accepted	primary-curator-codex
evidence-3caf2672b77424a27dd1	source-3caf2672b77424a27dd1	https://juejin.cn/post/7675622412803358774	从类型检查、Mock、真实 RPC、TUI、模型路径到生产安全，提供六层扩展验收法。	inference	2026-08-26	从类型检查、Mock、真实 RPC、TUI、模型路径到生产安全，提供六层扩展验收法。	medium	accepted	primary-curator-codex
evidence-a224d950c0a2ea042211	source-a224d950c0a2ea042211	https://zhuanlan.zhihu.com/p/2017400881730056207	整理 Mario 与深度用户访谈，适合补设计动机、扩展、会话树、SubAgent 与安全语境。	inference	2026-08-26	整理 Mario 与深度用户访谈，适合补设计动机、扩展、会话树、SubAgent 与安全语境。	medium	accepted	primary-curator-codex
evidence-d32035a5146dd570b3b0	source-d32035a5146dd570b3b0	https://segmentfault.com/a/1190000048176674	中文全栈路线覆盖安装、模式、会话树、扩展、安全隔离与 Pi/DSH 选型；营销断言需回源。	inference	2026-08-26	中文全栈路线覆盖安装、模式、会话树、扩展、安全隔离与 Pi/DSH 选型；营销断言需回源。	medium	accepted	primary-curator-codex
evidence-5d91b221ff35d3ec5d09	source-5d91b221ff35d3ec5d09	https://www.infoq.cn/article/sLVv23TfVFxoBPjNwcZI	Mario 演讲中文整理；与 36氪转载去重后保留较完整版本。	inference	2026-08-26	Mario 演讲中文整理；与 36氪转载去重后保留较完整版本。	medium	accepted	primary-curator-codex
evidence-6de59c030f92ac4fb971	source-6de59c030f92ac4fb971	https://linux.do/t/topic/2712169	给出 models.json、thinking、会话树命令和任务体验；成本与效果属于单用户样本。	inference	2026-08-26	给出 models.json、thinking、会话树命令和任务体验；成本与效果属于单用户样本。	medium	accepted	primary-curator-codex
evidence-fd9b7a8c422f55c8536d	source-fd9b7a8c422f55c8536d	https://www.v2ex.com/t/1235481	一手反馈说明扩展越多不一定越强，插件冲突、注意力稀释和模型分工需要单独治理。	inference	2026-08-26	一手反馈说明扩展越多不一定越强，插件冲突、注意力稀释和模型分工需要单独治理。	medium	accepted	primary-curator-codex
evidence-307ccd1084955781a24a	source-307ccd1084955781a24a	https://fast.v2ex.com/t/1218511	作者披露约 25M tokens 与 40 美元成本；可证明产品化路径，不足以证明通用 ROI。	inference	2026-08-26	作者披露约 25M tokens 与 40 美元成本；可证明产品化路径，不足以证明通用 ROI。	medium	accepted	primary-curator-codex
evidence-04e92a34121cc7b235a9	source-04e92a34121cc7b235a9	https://dev.to/zangetsu101/the-coding-agent-i-could-shape-around-my-workflow-3c38	真实案例暴露 agent_settled 不等于派生异步工作全部完成，并用并发回归测试修正完成语义。	inference	2026-08-26	真实案例暴露 agent_settled 不等于派生异步工作全部完成，并用并发回归测试修正完成语义。	medium	accepted	primary-curator-codex
evidence-ba5bd4830070afd0b7be	source-ba5bd4830070afd0b7be	https://georgeracu.substack.com/p/pi-agent-vs-claude-code-in-custom	单 MR、五个 seeded defects 的小样本实验；方法比结果更值得学，必须保留作者的局限声明。	inference	2026-08-26	单 MR、五个 seeded defects 的小样本实验；方法比结果更值得学，必须保留作者的局限声明。	medium	accepted	primary-curator-codex
evidence-cc7e4abeb84dccc706f4	source-cc7e4abeb84dccc706f4	https://scaileagency.substack.com/p/introducing-pi-web-browse-give-your	展示协议 allowlist、私网 IP 阻断、超时、body cap 与 redirect cap，说明工具安全不应只写进 prompt。	inference	2026-08-26	展示协议 allowlist、私网 IP 阻断、超时、body cap 与 redirect cap，说明工具安全不应只写进 prompt。	medium	accepted	primary-curator-codex
evidence-3fc053a9a80a47815371	source-3fc053a9a80a47815371	https://arxiv.org/html/2607.25890v1	以 Pi 为实验底座研究 sandbox、skill scanning 与 tool restriction；论文结果需按威胁模型和非确定性限制解读。	inference	2026-08-26	以 Pi 为实验底座研究 sandbox、skill scanning 与 tool restriction；论文结果需按威胁模型和非确定性限制解读。	strong	accepted	primary-curator-codex
evidence-a0b1e71a83fa714fee3f	source-a0b1e71a83fa714fee3f	https://news.ycombinator.com/item?id=49289654	高密度讨论帮助发现压缩边界、隐藏假设和体验风险；事实结论仍回到官方 compaction 文档。	inference	2026-08-26	高密度讨论帮助发现压缩边界、隐藏假设和体验风险；事实结论仍回到官方 compaction 文档。	medium	accepted	primary-curator-codex
